"taxa"	"Pump-NICUa"	"Mattress-NICUa"	"Rail-NICUa"	"Monitor-NICUa"	"Ventilator-NICUa"	"Pump-NICUb"	"Mattress-NICUb"	"Rail-NICUb"	"Monitor-NICUb"	"Ventilator-NICUb"	"Mobiles-NICUab"	"Handle-NICUab"	"DrugStation-NICUab"
"Lactococcus"	0.00119175653286	5.81344650176e-05	0.000145336162544	0.000755748045229	0.000465075720141	0.00142429439293	0.00107548760283	0.00095921867279	0.00119175653286	0.000494142952649	0.000610411882685	0.000552277417667	0.00171496671802
"Larkinella"	0	0	0	0	0	0	0	0	0.000290672325088	0	0	0	0
"Lechevalieria"	0	0	0	0.000523210185158	2.90672325088e-05	0	0.000261605092579	5.81344650176e-05	0.000203470627562	8.72016975264e-05	0	8.72016975264e-05	2.90672325088e-05
"Legionella"	0	0.000261605092579	5.81344650176e-05	0	8.72016975264e-05	0	0.000290672325088	8.72016975264e-05	2.90672325088e-05	0	0	8.72016975264e-05	0
"Leifsonia"	0	0	0	0	0	0	5.81344650176e-05	8.72016975264e-05	0	0	0	0	0
"Leptotrichia"	0.00095921867279	2.90672325088e-05	0.000174403395053	0.00287765601837	0.000116268930035	0.000930151440281	0.000145336162544	0.000145336162544	0.000610411882685	0.000436008487632	0.0772316367759	0.00226724413569	0.000581344650176
"Leucobacter"	0	0	0.000116268930035	0	0	0	0	5.81344650176e-05	0.000174403395053	0	0	0.000261605092579	0.000203470627562
"Leuconostoc"	0.00639479115193	0	0.000145336162544	0.000290672325088	0.000436008487632	0.00136615992791	0.000668546347702	0.000784815277737	0.0113362206784	0.00162776502049	0.00107548760283	0.00203470627562	0.000319739557597
"Limnohabitans"	8.72016975264e-05	0.000174403395053	8.72016975264e-05	5.81344650176e-05	0	0	8.72016975264e-05	0	2.90672325088e-05	5.81344650176e-05	0	0	0
"Litorilinea"	0	0	0	5.81344650176e-05	0	0	0	0	0	0	0	0	0
"Luteibacter"	0	0	0	2.90672325088e-05	0	0	0	0	0	0	0	0	0
"Luteimonas"	0	0	0.000348806790106	0	5.81344650176e-05	0	0	0	2.90672325088e-05	0	0	0	0.00023253786007
