accession	name
NR_112853.1	Halovivax ruber
NR_112852.1	Halovivax asiaticus
NR_112851.1	Haloterrigena longa
NR_112850.1	Haloterrigena limicola
NR_112849.1	Halalkalicoccus jeotgali
NR_112751.1	Methanoplanus endosymbiosus
NR_112712.1	Haloarcula quadrata
NR_112711.1	Haloarcula marismortui
NR_112710.1	Haloarcula japonica
NR_112709.1	Haloarcula hispanica
NR_112708.1	Haloarcula argentinensis
NR_112707.1	Haloarcula vallismortis
NR_112648.1	Methanosarcina horonobensis
NR_112194.1	Haloarcula hispanica
NR_112158.1	Pyrobaculum organotrophum
NR_112150.1	Thermococcus waiotapuensis
NR_112149.1	Thermococcus siculi
NR_112148.1	Thermococcus peptonophilus
NR_112147.1	Thermococcus pacificus
NR_112146.1	Thermococcus gorgonarius
NR_112145.1	Thermococcus fumicolans
NR_041717.2	Methanofollis tationis
NR_109736.1	Halopenitus malekzadehii
NR_109687.1	Halopelagius longus
NR_109660.1	Halopiger salifodinae
NR_109659.1	Halopelagius fulvigenes
NR_109480.1	Natronobacterium texcoconense
NR_109423.1	Methanosarcina soligelidi
